name,depedsch_id,district_id,address,school_head,position,contact_number,email,created_at,updated_at,deleted_at
New Santiago ES,128585,1,"Purok 3, New Santiago, Asuncion, Davao del Norte",Rose Anne A. Patayon,Head Teacher I,9124812680,128585@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
New Talisay ES,128586,1,"Purok 7, New Talisay, Cambanogoy, Asuncion, Davao del Norte",Eugene E. Villagracia,Principal I,9958666423,128586@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
New Visayas PS,128587,1,"New Visayas, Buan, Asuncion, Davao del Norte",Jerheysa E. Matunhay,Head Teacher I,9510677322,128587@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Sagayen ES,128591,1,"Purok 1, Sagayen, Asuncion, Davao del Norte",Dominador A. Dayson,Head Teacher III,9562033185,128591@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
San Vicente ES,128593,1,"Purok 5, San Vicente, Asuncion, Davao del Norte ",Sally H. Tapay,Head Teacher II,9514023061,128593@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Sonlon ES,128596,1,"Purok 2, Sonlon, Asuncion, Davao del Norte",Jay-Ar Dave T. Tanguan,Head Teacher III,9127030094,128596@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Sta. Filomena PS,128597,1,"Purok 2, Sta. Filomena, Asuncion, Davao del Norte",Ma. Narcisa S. Gallaza,Master Teacher I,9478267188,128597@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Pamacaun IS,502244,1,"Purok 3-B, Pamacaun, Asuncion, Davao del Norte",Niño A. Fernandez,Master Teacher II,9072655802,502244@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Rizal IS,500846,1,"Purok 3, Sitio Rizal, Binancian, Asuncion, Davao del Norte",Elias P. Limotin,Principal I,9952212396,500846@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Magatos IS,501077,1,"Purok 3, Magatos, Asuncion, Davao del Norte",Feliza P. Playda,Principal IV,9507146314,501077@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Adelanto ES,128645,4,"Purok 3, Sua-on, Kapalong, Davao del Norte",Marylyn F. Angoy,Principal III,9307341106,128645@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Clementa F. Royo ES,204520,4,"10-C, Maniki, Kapalong, Davao del Norte",Maria Elena H. Nimes,Principal III,9486286462,204520@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Domingo B. Hain ES (Florida ES),128651,4,"Purok 2, Florida, Kapalong, Davao Del Norte",Chary C. Comar,Principal III,9073329897,128651@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Dr. Vislumino Y. Tamondong ES,204533,4,"Purok 3, Relocation Site, Maniki, Davao del Norte",Leigh Jay P. Cubar,Principal I,9773473407,204533@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Kilantang ES,204532,4,"Purok 9, Kilantang, Sua-on, Kapalong, Davao del Norte",Kinee Jay G. Calumba,Teacher I,9556485041,204532@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Luan ES,128658,4,"Sitio Luan, Mabantao, Kapalong, Davao del Norte",Joethamry T. Genovia,Head Teacher III,9754655693,128658@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Mabantao ES,128675,4,"Purok 1-A, Mabantao, Kapalong, Davao del Norte",Judith G. Galano,Principal III,9672252021,128675@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Mabuhay ES,128660,4,"Purok 6-A, Capungagan, Kapalong, Davao del Norte",Charisse P. Paragoso,Principal III,9176242164,128660@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Maniki CES SPED Center,128662,4,"Rizal St., Maniki, Kapalong, Davao del Norte",Ian Rose D. Cuenca,Principal III,9704577581,128662@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Marcos P. Estoque ES,128663,4,"Purok 1, Capungagan, Kapalong, Davao del Norte",Phoebe Grace C. Eran,Principal III,9353939658,128663@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Rogelio P. Macadangdang ES,137059,4,"Purok 9, Capungagan, Kapalong, Davao del Norte",Efren V. Jabines,Head Teacher III,9650667096,137059@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
New Boholano ES,128664,4,"Purok 2, Boholano, Florida, Kapalong, Davao del Norte",/Larry A. Ucol,Head Teacher II,,128664@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Pandulian ES,128665,4,"Sitio Pandulian, Mabantao, Kapalong, Davao del Norte",Bonita T. Miole,Principal I,9089884319,128665@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Sambayon ES,128668,4,"Sambayon,Sua-on,Kapalong,Davao del Norte",Reggie R. Balaba,Teacher I,9600645109,128668@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Sua-on ES,128670,4,"Purok 4, Sua-on, Kapalong, Davao del Norte",Diovenel Q. Polestico,Principal I,9486609839,128670@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Upper & Lower Mabini ES,204523,4,"Purok 13-A, Maniki, Kapalong, Davao del Norte",Alexander P. Redaniel,Principal I,9176365414,204523@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Kamansi IS,501076,4,"Purok 12, Kamansi, Florida, Kapalong, Davao del Norte",Bayani N. Escoton,Head Teacher II,9388534958,501076@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Aninipot ES,128647,6,"Aninipot, Gupitan, Kapalong, Davao del Norte",Jorynel R. Tampos,Head Teacher I,9058872113,128647@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Banualay ES,204511,6,"Sitio Banualay, Gupitan, Kapalong Davao del Norte",Earljemar T. Estrada,Teacher I,9505434676,204511@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Balulon ES,137009,6,"Sitio Balulon, Gupitan, Kapalong, Davao del Norte",Delmar S. Obenieta,Teacher I,,137009@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Dibabawon I ES,204505,6,"Okapan, Gupitan, Kapalong, Davao del Norte",Loreen Jane D. Peralta,Teacher I,,204505@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Dibabawon II ES,204506,6,"Kimataan II, Gupitan, Kapalong, Davao del Norte",Cyrzyll Ken J. Abao,Teacher I,,204506@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Dugayan ES,128650,6,"Dugayan, Gupitan, Kapalong Davao del Norte",Rhiza May E. Alilaya,Head Teacher II,9350760670,128650@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Kawayan ES,137011,6,"Kawayan, Gupitan, Kapalong, Davao Del Norte",Thoter Alconten,Teacher I,,137011@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Kamunuan ES,137010,6,"Kamunuan, Gupitan, Kapalong, Davao del Norte",Junrey P. Rapul,Head Teacher II,9754551498,137010@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Kapogi ES,137012,6,"Kapogi, Gupitan, Kapalong, Davao del Norte",Jhorben Dave T. Genovia,Teacher I,9655412596,137012@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Kim-isog ES,137014,6,"Sitio Kim-isog, Gupitan, Kapalong, Davao del Norte",Suriel R. Butihen,Head Teacher I,9169159392,137014@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Lapangon ES,204531,6,"Sitio Baho, Gupitan, Kapalong, Davao del Norte",Reynaldo G. Glodove,Head Teacher I,9308098345,204531@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Luno-Luno ES,204524,6,"Luno-luno, Gupitan, Kapalong, Davao del Norte",Analou T. Ramos,Master Teacher I,9067806356,204524@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Lower Tagasan ES,204530,6,"Sitio Lower Tagasan, Gupitan, Kapalong, Davao del Norte",Greg E. Serafica,Head Teacher II,9369283097,204530@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Maguimon ES,204525,6,"Maguimon, Gupitan, Kapalong, Davao del Norte",Chenie Kate Almanzor,Teacher I,,204525@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Mansalinao ES,204526,6,"Sitio Mansalinao, Gupitan, Kapalong, Davao del Norte",Rhaciel M. Pablo,Head Teacher I,9559305845,204526@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Moling ES,137013,6,"Moling, Gupitan, Kapalong, Davao del Norte",Lita D. Miranda,Head Teacher I,9456952031,137013@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Nasinabong ES,204527,6,"Poiton, Gupitan, Kapalong Davao del Norte",Joy G. Mamado,Head Teacher I,9606498990,204527@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Ngan ES,204529,6,"Sitio Kampina, Gupitan, Kapalong Davao del Norte",Marichu P. Pontillas,Head Teacher I,9388525135,204529@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Patel ES,128666,6,"Sitio Patil, Gupitan, Kapalong, Davao del Norte",Jeovan Brylle D. Tumale,Head Teacher I,9553581567,128666@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Pipisan ES,204528,6,"Pipisan, Gupitan, Kapalong, Davao del Norte",Marlon L. Arrocena,Head Teacher I,9055873745,204528@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Taongatok ES,204521,6,"Sitio Taongatok, Gupitan, Kapalong Davao del Norte",Rhenaley Joy G. Algon,Teacher II,,204521@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Tapayanon ES,137008,6,"Sitio Mondol, Gupitan, Kapalong Davao del Norte",Jeffrey H. Nimes,Teacher III,9265027038,137008@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Tawinian ES,137007,6,"Tawinian, Gupitan, Kapalong, Davao del Norte",Rendel B. Miranda,Teacher I,9777602190,137007@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Tiapo ES,204522,6,"Sitio Tiapo, Gupitan, Kapalong, Davao del Norte",Jumar P. Tumale,Teacher I,9101184555,204522@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Gupitan IS,500847,6,"Centro, Gupitan, Kapalong, Davao del Norte",Rhealyn Mae G. Luengas,Master Teacher I,9974702257,500847@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Kapatagan IS,500452,6,"Kapatagan, Gupitan, Kapalong, Davao del Norte",Roland B. Abao,Head Teacher I,9518222451,500452@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Langan IS,501763,6,"Langan, Gupitan, Kapalong, Davao del Norte",Carolyn C. Collado,Head Teacher IV,9157040502,501763@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Mangkay IS,501765,6,"Mangkay, Gupitan, Kapalong, Davao del Norte",Leopoldo J. Maymay,Head Teacher III,9552952815,501765@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Mambago IS,501767,6,"Mambago, Gupitan, Kapalong, Davao del Norte",Jomar T. Madrigal ,Head Teacher I,9566832536,501767@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Upper Tagasan IS,501783,6,"Upper Tagasan, Gupitan, Kapalong, Davao del Norte",Benjelita L. Batao,School Principal I,9466874490,501783@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Bunawan ES,128672,5,"Purok 5, Bunawan , Semong, Kapalong, Davao del Norte",Guia L. Genovia,Head Teacher II,9776839603,128672@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Doña Carmen Soriano ES,128673,5,"Purok 4, Narra, Gabuyan, Kapalong Davao Del Norte",Alma A. Consencino,Principal IV,9176225263,128673@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Gabuyan CES,128674,5,"Purok 1-A, Gabuyan, Kapalong, Davao del Norte",Rogelio D. Jurada,Principal III,9553584165,128674@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Luna ES,128659,5,"Purok 2, Luna, Kapalong, Davao del Norte",Justo A. Villaver,Principal IV,9559574235,128659@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Mangulibas ES,128677,5,"Purok 1, Katipunan, Kapalong, Davao del Norte",Joe Art R. Cervera,Principal I,9171792270,128677@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Pag-asa ES,128678,5,"Purok 6, Pag-asa, Kapalong, Davao del Norte",Raul E. Consencino,Principal I,9177772138,128678@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Pedro G. Colita Sr. ES,128676,5,"Purok 1, Mamacao, Kapalong, Davao del Norte ",Dr. Agustin R. Tamayo Jr.,Head Teacher II,9072069254,128676@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Sagana ES,108926,5,"Purok 6, Sampao, Kapalong, Davao del Norte",Charls Ryde Manos,Head Teacher I,9324846500,108926@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Semong ES,128680,5,"Purok 1, Semong, Kapalong, Davao del Norte",Jim Roy Pasion Cubar,Head Teacher I,9163926864,128680@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Tiburcia ES,128681,5,"Purok 1, Tiburcia, Kapalong, Davao del Norte",Gina P. Arrosas,Head Teacher V,9085751656,128681@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Sampao IS,500789,5,"Purok 2-A, Sampao, Kapalong, Davao del Norte",Jocelyn D. Fernandez,Principal IV,9207716650,500789@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Cabidianan ES,128700,7,"Purok 1, Centro, Cabidianan, New Corella,DDN",Marion G. Creayla,Principal I,9283367303,128700@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Carcor ES,128701,7,"Purok 4, Carcor, New Corella, Davao del Norte",Judith Q. Asenjo,Principal I,9664876193,128701@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Dasing ES,128702,7,"Dasing, Mesaoy, New Corella, Davao del Norte",Rose Angelie C. Centina,Master Teacher II,9507613930,128702@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Del Pilar ES,128703,7,"Purok 1, Del Pilar, New Corella, Davao del Norte",Fe R. Torrefranca,Principal IV,9496705857,128703@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
El Salvador ES,128704,7,"Purok I, El Salvador ,New Corella,Davao del Norte",Elvie C. Cruz,Principal III,9105434078,128704@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
El Unido ES,128705,7,"Purok 17, Mesaoy, New Corella, Davao del norte",Haydee D. Decendario,Head Teacher IV,9126430002,128705@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Guadalupe ES,128706,7,"Purok 6-A, Limbaan, New Corella, Davao del Norte",Giovanni G. Quiocho,Head Teacher I,9486811785,128706@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Kauswagan ES,128707,7,"Purok 9, Limbaan, New Corella, Davao del Norte",Rolando L. Bughao,Head Teacher III,9639570649,128707@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Lataban ES,128708,7,"Purok 1, Del Monte, New Corella, Davao del Norye",Ulysis P. Vito,Head Teacher V,9610055793,128708@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Limbaan ES,128709,7,"Purok 3, Limbaan, New Corella, Davao del Norte",Divina G. Aplaon,Principal IV,9985398183,128709@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Mambing ES,128711,7,"Purok 1, Mambing, New Corella, Davao del Norte",Jessie G. Dalaota,Head Teacher I,9533679242,128711@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Mesaoy ES,128712,7,"Purok 1, Mesaoy, New Corella, Davao del Norte",Hilda S. Ermias,Principal IV,9309674801,128712@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
New Bohol ES,128713,7,"Purok 1, Mesaoy, New Corella, Davao del Norte",Levi C. Molina,Head Teacher I,9677526275,128713@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
New Corella CES,128714,7,"Purok 4, Poblacion, New Corella, Davao del Norte",Jimmy D. Esponilla,Principal IV,9087005572,128714@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
New Cortez ES,128715,7,"Purok 1 Central, New Cortez , New Corella , Davao del Norte","Francisco M. Oñez, Jr.",Principal IV,9152210520,128715@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
New Sambog ES,128716,7,"Purok 1, New Sambog, New Corella, Davao del Norte",Joy Q. Darunday,Principal II,9171089776,128716@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Patrocenio ES,128717,7,"Purok 1, Patrocenio, New Corella, Davao del Norte",Danilo B. Cruz,Head Teacher IV,9700927079,128717@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
San Jose ES,128718,7,"Purok 5, San Jose, New Corella, Davao del Norte",Marry Ann V. Agonia,Principal II,9384900518,128718@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
San Roque ES,128719,7,"Purok 1, San Roque, New Corella, Davao del Norte",Marissa M. Ventura,Principal IV,9778496357,128719@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Saug ES,128720,7,"Purok 1, Saug, Macgum, New Corella, Davao del Norte",Edgar C. Butlig,Head Teacher II,,128720@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Silangan ES,204507,7,"Silangan, Sta. Cruz, New Corella, Davao del Norte",Gemma C. Ardenio,Principal I,9816963612,204507@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Sta. Cruz ES,128722,7,"Purok 1, Sta. Cruz, New Corella,Davao del Norte",Rosalinda A. Jabines,Principal I,9283329542,128722@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Sta. Fe ES,128723,7,"Purok 2, Sta. Fe, New Corella, Davao del Norte",Delna C. Cagulang,Head Teacher III,9514505341,128723@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Sto. Niño ES,128724,7,"Purok 3, Sto. Niño, New Corella, Davao del Norte",Anna May D. Abayon,Principal II,9985622646,128724@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Suawon ES,128725,7,"Purok1, Suawon, New Corella, Davao del Norte",Jesustomo M.Calvo Jr.,Principal I,9215040495,128725@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Macgum IS,500849,7,"Purok 3, Macgum, New Corella, Davao del Norte","Urbano Q. Jumamil, Jr.",Head Teacher II,9388594949,500849@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Mangguangan IS,501661,7,"Purok 7, Mambing, New Corella, Davao del Norte",Glend J. Buctuanon,Master Teacher I,9517945722,501661@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Agman PS,128646,8,"Purok 5, Agman, Linao, San Isidro, Davao del Norte",Merlie L. Sumatra,Head Teacher I,9654619296,128646@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Dacudao ES,128648,8,"Purok Malinawon, Dakudao, San Isidro, Davao del Norte",Flarida C. Intan,Head Teacher IV,9465451666,128648@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Datu Balong ES,128649,8,"Purok 1-A, Datu Balong, San Isidro, Davao del Norte",Jo-an A. Castro,Master Teacher III,9263506383,128649@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Gov. Dujali ES,128652,8,"Paglaum, Monte Dujali, San Isidro, Davao del Norte",Rowena T. Cahapay,Principal I,9303811933,128652@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Kipalili ES,128576,8,"Purok 2, Kipalili, San Isidro, Davao Del Norte",Jessie C. Lamsin,Master Teacher II,9469308840,128576@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Libuton ES,128656,8,"Purok 1, Libuton, San Isidro, Davao del Norte",Randy T. Lumapat,Prinicpal III,9709890654,128656@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Linao ES,128657,8,"Purok 1, Linao, San Isidro, Davao del Norte",Arlene B. Refamonte,Principal I,9399045865,128657@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Mamangan ES,128581,8,"Purok Cadena de Amor, Mamangan, San Isidro, Davao del Norte",Liza Mae S. Senon,Teacher III,9971632040,128581@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Pinamuno ES,128667,8,"Purok Skylab, Pinamuno, San Isidro, Davao del Norte",Alex B. Aporbo,Head Teacher I,9364639427,128667@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Sabangan ES,128590,8,"Purok 14, Sabangan, San Isidro, Davao del Norte",Nimfa G. Alfar,Head Teacher I,9477463703,128590@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
San Miguel ES,128669,8,"Purok 1, San Miguel, San Isidro, Davao del Norte",Robert D. Sabaysabay,Head Teacher I,9057426604,128669@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
San Miguel PS,128592,8,"Km. 30, Sawata, San Isidro, Davao del Norte",Zarah P. Lumapat,Principal I,9128144211,128592@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Sawata Adecor ES,128594,8,"Purok 1, Sto. Niño, San Isidro, Davao del Norte",Elpidio I. Dupitas,Principal I,9124996211,128594@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Sawata Ernandcor CES,128595,8,"Purok Cacao A, Sawata, San Isidro, Davao del Norte",Ma. Irma C. Llevado,Principal I,9512454956,128595@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Igangon IS,500859,8,"Purok 1-B, Igangon, San Isidro, Davao del Norte",Richard L. Cia,Principal II,9178082512,500859@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Banaog ES,204510,11,"Banaog, Palma Gil, Talaingod, Davao del Norte",Geric Bryle B. Lascuña,Head Teacher III,9090968049,204510@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Barobo ES,204508,11,"Sitio Barobo, Dagohoy, Talaingod, Davao Del Norte ",Romel P. Francisco,Head Teacher II,9752851195,204508@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Dagohoy ES,128801,11,"Purok 1, Dagohoy, Talaingod, Davao del Norte ",Elsie P. Lucino,Principal II,9272253940,128801@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Datu Felino Dagwaan ES,137060,11,"Dalingding, Palma Gil, Talaingod, Davao del Norte ",Hazel Ann T. Manigos,Teacher I,9070922286,137060@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Gatong ES,204509,11,"Gatong, Palma Gil, Talaingod, Davao del Norte",Laureta L. Ohina,Head Teacher II,9757332022,204509@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Ibuyag Lamburan ES,101909,11,"Sitio Misuloksolok,Sto.Niño,Talaingod,Davao del Norte",Rowell B. Flores,Head Teacher III,9096324626,101909@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Ibuyag Pocapoc PS,101952,11,"Damuluan, Dagohoy, Talaingod, Davao del Norte",Allan Roy A. Eturma,Master Teacher II,,101952@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Igang ES,137056,11,"Igang, Palma Gil, Talaingod, Davao del Norte",Julie Ann L. Cortes,Teacher I,9606491558,137056@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Kamingawan ES,101973,11,"Tamboco, Palma Gil, Talaingod,Davao del Norte",Gerimy A. Gornes,Head Teacher II,9975708504,101973@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Km. 31 PS,204515,11,"Sitio Km. 31, Dagohoy, Talaingod, Davao del Norte",Jessie O. Fortuna,Head Teacher I,9168566438,204515@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Kuyas ES,204518,11,"Sitio Kuyas, Sto. Niño, Talaingod, Davao del Norte",Perlas Astorga Labial,Head Teacher II,9177027407,204518@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
